3,"t","Honey Final Estimates 2003-2007: Released March 13, 2009, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
3,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
3,"t","and Value by State and United States, 2005 1/"
3,"h","","","","","","",""
3,"h","","Honey","Yield","","","Average","Value"
3,"h","State","Producing","per","Production","Stocks","Price per","of"
3,"h","","Colonies 2/","Colony","","Dec 15 3/","Pound 4/","Production 5/"
3,"h","","","","","","",""
3,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
3,"d","AL",13,66,858,266,102,875
3,"d","AZ",36,50,1800,720,104,1872
3,"d","AR",36,69,2484,571,97,2409
3,"d","CA",400,75,30000,9300,86,25800
3,"d","CO",28,70,1960,902,97,1901
3,"d","FL",160,86,13760,2477,87,11971
3,"d","GA",59,49,2891,434,89,2573
3,"d","HI",9,131,1179,283,143,1686
3,"d","ID",95,37,3515,1793,80,2812
3,"d","IL",8,85,680,408,184,1251
3,"d","IN",8,64,512,189,118,604
3,"d","IA",28,88,2464,1232,121,2981
3,"d","KS",16,50,800,328,105,840
3,"d","KY",5,50,250,40,208,520
3,"d","LA",35,97,3395,611,72,2444
3,"d","ME",8,26,208,193,166,345
3,"d","MI",65,68,4420,2519,94,4155
3,"d","MN",120,74,8880,1598,90,7992
3,"d","MS",16,80,1280,346,67,858
3,"d","MO",15,50,750,180,122,915
3,"d","MT",130,67,8710,3136,86,7491
3,"d","NE",40,68,2720,2530,87,2366
3,"d","NV",12,46,552,442,311,1717
3,"d","NJ",12,32,384,104,120,461
3,"d","NM",7,49,343,113,103,353
3,"d","NY",59,73,4307,2283,134,5771
3,"d","NC",10,54,540,146,188,1015
3,"d","ND",370,91,33670,8418,83,27946
3,"d","OH",15,69,1035,580,140,1449
3,"d","OR",39,42,1638,557,108,1769
3,"d","PA",28,56,1568,800,112,1756
3,"d","SD",220,79,17380,11818,83,14425
3,"d","TN",7,55,385,92,167,643
3,"d","TX",84,71,5964,954,86,5129
3,"d","UT",24,45,1080,346,95,1026
3,"d","VT",6,91,546,169,112,612
3,"d","VA",8,37,296,59,220,651
3,"d","WA",51,55,2805,1935,101,2833
3,"d","WV",8,51,408,102,129,526
3,"d","WI",64,83,5312,2922,114,6056
3,"d","WY",40,56,2240,291,89,1994
3,"d","",,,,,,
3,"d","Oth",,,,,,
3,"d"," Sts 6/",15,43,645,268,241,1554
3,"d","",,,,,,
3,"d","US 7/ 8/",2409,72.5,174614,62455,92.2,160994
3,"c",""
3,"f","1/  For producers with 5 or more colonies.  Colonies which produced honey in more than one State were counted in each State."
3,"f","2/  Honey producing colonies are the maximum number of colonies from which honey was taken during the year.  It is possible to take honey from colonies which did not survive the entire year."
3,"f","3/  Stocks held by producers."
3,"f","4/  Average price per pound based on expanded sales."
3,"f","5/  Value of production is equal to production multiplied by average price per pound."
3,"f","6/  CT, DE, MD, MA, NH, OK, RI, and SC not published separately to avoid disclosing data for individual operations."
3,"f","7/  Due to rounding, total colonies multiplied by total yield may not equal production."
3,"f","8/  Summation of States will not equal U.S. level value of production."
